title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,time_signature,valence,tempo
Blood and Thunder - Mastodon,-0.6106399383191985,0.8275510204081632,-0.5,0.25854054054054043,0.0,0.479920674268716,-0.5329154122547617,4.562585289514867,-0.7684772929652715,0.0,0.0029688273132112844,-0.38792760150540423
Roots Bloody Roots - Sepultura,-0.41326137239784144,0.7030612244897958,-0.16666666666666666,0.2459999999999999,-1.0,1.5825483391175013,-0.5324976946802761,0.26148982785602504,1.7186108637577915,0.0,-0.42652152399802074,0.2176217532012269
You Can't Bring Me Down - Suicidal Tendencies,-0.8943716268311491,0.8744897959183672,-0.8333333333333334,-0.200810810810811,0.0,6.599900842835894,-0.5304461191134854,-0.0005051643192488263,-0.2359750667853962,0.0,-0.8674913409203364,0.6025879040445109
Dig - Mudvayne,0.18812644564379324,0.9255102040816324,1.0,0.5828648648648648,-1.0,2.0386712940009915,-0.5328039683296767,0.38543348982785597,1.2733748886910063,0.0,-0.40672934190994553,0.5601404445541273
Thunder Kiss '65 - White Zombie,0.3762528912875868,0.6724489795918366,0.6666666666666666,-0.09000000000000015,0.0,-0.16063460585027273,-0.5321797195459315,0.017045383411580597,3.107747105966162,0.0,0.08015833745670467,0.059565541726727345
My Curse - Killswitch Engage,-1.1256746337702395,0.8704081632653059,0.8333333333333334,0.652054054054054,-1.0,0.3589489340604858,-0.5328295335304779,0.06130203442879499,1.2733748886910063,-1.0,-0.5294408708560118,1.50338491567157
Are You Dead Yet? - Children Of Bodom,-0.31148804934464164,0.880612244897959,0.5,0.6409189189189188,0.0,-0.005949429846306428,-0.5329181977169385,0.8755743348982787,1.6918967052537843,0.0,-0.11974270163285503,-0.3140708168107197
Only for the Weak - In Flames,-0.32074016962220525,0.7744897959183673,-0.8333333333333334,0.48924324324324314,-1.0,-0.07139315815567672,-0.5329233743521257,4.744118935837245,1.4692787177203914,0.0,0.02671944581890156,-0.11219859667622041
Davidian - Machine Head,-0.8758673862760219,0.8316326530612245,0.3333333333333333,0.21486486486486475,0.0,2.375805651958354,-0.5322458583738752,0.7378591549295774,0.9706144256455922,-1.0,-0.3691241959426027,0.9924449355267507
Madhouse - Anthrax,-0.7185813415574406,0.7255102040816325,0.6666666666666666,-0.18610810810810818,0.0,0.8368864650470995,-0.5021463321568254,0.026309859154929574,5.494211932324132,0.0,0.008906481939633852,1.2009579844187308
"Snap Your Fingers, Snap Your Neck - Prong",0.32690824980724753,0.5275510204081632,0.0,0.2364864864864864,0.0,-0.11502231036192363,-0.5328311870011765,0.6752613458528951,-0.3455031166518253,0.0,0.42652152399802074,0.6140971782086584
Replica - Fear Factory,0.037008481110254135,0.843877551020408,1.0,0.400162162162162,0.0,0.5691621219633117,-0.5328793920315431,0.19764006259780906,2.2083704363312555,0.0,0.4819396338446314,0.04489289980986118
